Seat No.,PH-121,HS-101,CY-105,HS-105/12,MT-111,CS-105,CS-106,EL-102,EE-119,ME-107,CS-107,HS-205/20,MT-222,EE-222,MT-224,CS-210,CS-211,CS-203,CS-214,EE-217,CS-212,CS-215,MT-331,EF-303,HS-304,CS-301,CS-302,TC-383,MT-442,EL-332,CS-318,CS-306,CS-312,CS-317,CS-403,CS-421,CS-406,CS-414,CS-419,CS-423,CS-412,CGPA
CS-97190,3.0,2.0,2.7,3.7,1.3,3.3,2.0,1.0,2.7,1.3,3.3,1.7,2.0,2.7,1.0,2.0,1.3,1.0,1.7,2.3,1.7,1.7,1.3,1.7,2.7,1.7,2.7,2.7,2.3,2.3,3.7,3.3,1.3,2.3,3.0,2.0,3.7,3.7,2.0,2.7,3.0,2.352
CS-97191,2.0,3.0,1.7,2.0,1.7,3.7,1.3,1.0,1.7,1.7,2.0,2.3,1.0,2.3,1.7,1.7,1.3,1.3,1.7,2.7,2.7,1.0,3.7,2.0,2.3,1.7,2.7,1.3,1.3,2.3,2.7,2.7,3.0,1.0,2.0,1.3,3.7,3.3,1.7,1.7,2.7,2.042
CS-97192,3.7,3.3,2.7,2.7,2.3,3.7,3.0,3.0,1.7,2.7,3.3,2.0,2.7,4.0,2.0,3.0,2.0,1.3,1.3,3.0,1.3,2.3,2.3,3.0,2.7,1.3,2.7,2.7,3.0,2.7,3.7,3.3,1.3,2.0,2.7,1.0,3.3,3.0,2.3,1.3,2.7,2.555
CS-97193,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.7,3.7,4.0,4.0,4.0,4.0,4.0,3.3,4.0,4.0,4.0,4.0,3.7,4.0,4.0,4.0,3.3,3.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.7,3.7,4.0,3.7,3.7,3.882
CS-97194,4.0,4.0,3.7,4.0,4.0,4.0,4.0,3.3,3.7,4.0,4.0,4.0,4.0,4.0,3.7,4.0,4.0,4.0,4.0,4.0,4.0,3.7,2.7,3.0,3.7,4.0,4.0,4.0,4.0,3.7,3.7,4.0,3.7,4.0,4.0,3.7,3.7,4.0,3.7,3.7,4.0,3.844
CS-97195,3.3,3.0,3.3,3.0,2.7,4.0,3.3,1.7,3.0,3.0,3.7,3.7,2.7,2.7,1.0,1.3,1.0,2.7,1.3,2.7,1.7,1.3,3.0,1.3,2.3,1.0,1.0,1.7,3.7,2.0,1.3,1.7,2.0,1.3,1.0,1.0,3.7,2.7,1.7,3.3,2.0,2.253
CS-97196,4.0,3.7,4.0,4.0,3.3,4.0,4.0,4.0,3.3,3.7,4.0,4.0,4.0,4.0,3.7,4.0,3.7,3.3,3.7,4.0,3.7,3.7,2.0,3.0,3.7,3.7,4.0,4.0,3.7,3.7,3.7,4.0,3.7,4.0,3.7,3.0,3.7,3.7,3.7,3.7,4.0,3.705
CS-97197,4.0,4.0,3.3,4.0,3.7,3.7,3.7,3.7,3.3,3.7,4.0,3.7,3.7,3.7,3.0,3.7,3.3,3.7,3.7,4.0,2.7,3.0,2.7,3.3,3.0,3.7,3.3,3.7,3.3,4.0,3.3,4.0,2.3,2.7,3.3,2.0,3.7,3.7,3.7,3.3,3.7,3.451
CS-97198,3.7,4.0,4.0,4.0,3.7,4.0,3.7,2.0,2.7,3.3,4.0,4.0,3.7,4.0,3.0,3.7,2.7,3.0,3.0,3.3,3.0,3.0,3.7,2.7,3.7,2.3,3.7,3.7,3.3,3.7,3.7,4.0,2.7,3.7,3.0,3.3,3.7,4.0,3.3,3.3,3.7,3.425
CS-97199,2.0,3.0,3.7,1.3,2.3,3.7,1.7,1.0,1.7,1.0,3.0,1.3,1.0,2.0,1.0,1.3,2.7,1.0,2.0,1.7,2.3,1.0,3.3,2.0,2.0,1.0,2.7,3.0,1.7,2.0,2.3,2.7,2.0,1.3,1.3,1.0,2.7,3.7,1.3,1.0,2.7,1.992
CS-97200,2.7,3.7,3.0,2.7,2.3,4.0,2.7,2.3,2.3,2.0,3.7,3.0,2.0,3.7,2.3,2.7,1.7,2.3,2.7,3.3,1.7,1.7,1.3,2.0,1.7,2.3,2.7,2.7,3.3,3.0,3.0,3.7,1.7,2.0,3.0,2.3,3.7,3.7,3.0,2.0,3.3,2.648
CS-97201,4.0,2.3,3.7,3.7,3.7,4.0,3.0,2.7,2.3,3.0,2.7,1.7,2.0,2.0,2.3,3.3,1.7,2.0,2.0,2.7,2.7,1.7,1.3,2.0,3.3,1.7,3.0,1.7,3.7,2.7,2.7,3.7,1.7,1.7,1.7,1.3,3.7,3.7,1.7,1.3,2.7,2.608
CS-97202,3.7,3.7,3.7,4.0,3.7,3.7,3.3,1.7,2.7,2.3,4.0,2.3,1.3,4.0,2.0,2.7,1.7,2.3,3.0,3.7,2.7,2.7,2.0,3.0,3.7,2.7,3.0,2.3,3.7,3.0,3.3,3.7,2.3,2.3,2.7,3.0,3.7,4.0,3.3,2.3,3.3,3.019
CS-97203,4.0,3.7,4.0,4.0,4.0,4.0,4.0,2.7,3.3,4.0,4.0,3.7,3.7,4.0,4.0,4.0,2.3,4.0,4.0,4.0,4.0,3.7,2.7,3.0,3.7,4.0,3.7,3.0,4.0,3.7,4.0,3.7,3.0,3.7,3.3,2.7,4.0,4.0,3.3,3.3,3.3,3.623
CS-97204,4.0,2.0,4.0,4.0,2.7,4.0,3.7,3.0,3.0,2.7,4.0,3.7,4.0,4.0,3.7,3.0,2.3,2.7,2.0,4.0,3.7,3.0,3.3,3.7,3.3,3.3,3.3,4.0,3.7,3.7,3.0,3.7,2.3,3.7,3.7,2.7,3.7,4.0,3.7,2.7,3.3,3.373
CS-97205,4.0,3.7,3.7,4.0,3.0,3.7,3.7,3.0,3.7,3.3,4.0,3.7,3.3,4.0,3.7,3.7,2.3,3.0,2.3,3.7,3.7,3.3,3.7,1.3,3.7,2.3,3.7,1.7,2.7,2.0,3.7,2.0,4.0,2.7,3.3,3.0,3.3,2.3,2.3,2.3,4.0,3.164
CS-97206,4.0,2.0,3.7,4.0,2.3,3.7,2.0,1.7,3.0,1.7,4.0,2.7,2.3,3.7,1.3,2.3,1.7,2.0,2.0,3.0,2.3,1.7,1.7,2.0,2.0,1.0,2.3,1.7,3.3,2.0,2.3,3.3,1.0,1.3,2.0,1.7,3.7,3.7,1.7,1.0,2.3,2.347
CS-97207,3.0,1.7,3.0,4.0,2.0,4.0,3.3,2.7,2.7,2.7,4.0,3.7,3.0,4.0,2.3,3.3,2.0,2.7,3.0,3.0,1.7,3.7,2.7,1.7,2.3,2.7,3.3,3.7,3.7,3.3,3.0,3.7,3.0,2.0,4.0,3.7,3.0,4.0,3.7,3.7,3.3,3.094
CS-97208,4.0,4.0,3.7,4.0,3.3,4.0,3.7,2.7,3.7,3.7,4.0,3.3,4.0,4.0,3.7,3.7,2.3,3.3,3.3,3.7,3.7,3.3,3.3,3.0,2.7,3.7,3.3,4.0,4.0,3.7,3.7,4.0,3.0,4.0,3.7,3.3,3.7,4.0,3.7,3.3,3.7,3.597
CS-97209,4.0,3.7,4.0,4.0,3.7,3.7,3.7,3.3,3.7,3.3,4.0,4.0,4.0,4.0,4.0,4.0,2.7,3.7,4.0,3.7,4.0,4.0,4.0,3.3,3.7,4.0,4.0,4.0,4.0,3.7,3.7,4.0,3.7,3.7,4.0,3.7,3.7,4.0,4.0,3.7,4.0,3.809
CS-97210,3.3,2.3,3.7,4.0,3.0,3.7,2.7,2.7,2.0,2.7,3.7,1.7,3.7,3.3,3.0,2.7,1.3,2.0,2.0,3.7,2.7,3.0,3.7,2.0,3.7,1.7,3.3,2.3,4.0,2.0,3.0,3.3,1.3,2.3,3.0,2.3,4.0,3.7,3.0,2.0,3.7,2.857
CS-97211,1.0,1.0,1.0,1.3,1.3,3.3,1.0,1.0,1.7,1.0,1.3,1.0,1.3,1.7,1.0,1.3,2.0,1.0,1.7,1.0,1.3,2.7,4.0,1.3,1.0,1.3,1.3,3.0,1.3,1.7,1.7,2.0,1.7,1.7,2.3,2.0,1.3,2.0,2.7,1.7,2.3,1.719
CS-97212,4.0,2.7,3.3,4.0,2.0,3.7,4.0,2.7,3.0,3.3,4.0,3.7,4.0,4.0,4.0,4.0,3.7,3.7,4.0,3.7,3.7,4.0,3.7,3.0,2.7,3.7,3.7,4.0,4.0,4.0,3.7,4.0,3.3,3.3,4.0,3.7,3.7,4.0,4.0,3.7,4.0,3.645
CS-97213,3.3,3.7,3.3,3.7,3.3,3.7,2.3,3.0,2.0,2.3,4.0,3.0,1.3,4.0,1.7,2.7,1.3,2.0,1.7,3.3,2.0,1.7,1.0,2.7,1.7,2.0,2.3,3.0,2.7,2.7,3.3,3.7,1.7,2.3,3.7,2.3,3.7,3.7,2.7,2.7,3.7,2.717
CS-97214,4.0,3.3,4.0,4.0,2.7,3.7,3.7,3.0,3.3,3.7,4.0,3.7,3.7,3.7,3.7,3.3,2.0,2.3,3.0,3.7,2.7,3.0,1.7,2.7,3.7,3.0,3.3,3.3,3.7,3.3,3.7,3.7,1.7,3.0,3.7,3.3,3.7,4.0,3.7,3.3,3.7,3.345
CS-97215,2.7,2.7,3.0,1.0,1.3,3.3,2.3,1.7,2.0,1.0,3.3,2.7,1.0,3.3,1.0,1.7,2.7,1.7,1.3,1.7,1.3,1.3,3.7,2.0,3.0,1.0,2.7,1.7,1.3,2.0,2.3,3.3,1.3,1.3,1.7,1.7,3.7,3.7,1.7,1.0,3.7,2.129
CS-97216,3.7,3.3,4.0,4.0,3.7,3.7,4.0,3.3,2.3,4.0,4.0,3.3,3.7,4.0,2.0,3.3,1.7,3.0,2.7,3.7,3.7,2.7,3.0,2.3,3.7,2.3,3.7,2.3,3.0,2.7,3.3,3.3,1.7,2.7,1.7,2.0,3.7,3.0,2.0,2.3,3.7,3.075
CS-97217,2.7,3.7,3.7,4.0,2.0,3.7,3.7,3.7,2.3,2.0,3.7,3.7,3.7,3.7,3.3,2.7,2.3,1.7,3.3,3.7,2.3,2.0,2.7,1.3,3.7,2.7,3.3,2.3,3.7,2.3,3.3,3.3,2.7,2.7,2.0,1.7,3.7,3.7,1.7,3.3,3.7,2.931
CS-97218,1.3,2.0,2.3,1.0,1.0,3.3,1.7,1.7,3.7,1.3,2.3,1.3,1.0,2.0,1.0,1.0,1.7,1.3,1.7,1.3,2.0,1.0,2.7,1.0,2.3,1.0,2.3,1.3,1.0,1.3,2.0,2.0,1.3,1.7,2.7,2.0,3.0,3.7,2.0,1.0,3.7,1.909
CS-97219,2.7,2.7,3.7,3.7,3.0,3.7,3.7,3.7,3.3,1.7,4.0,4.0,3.3,4.0,1.7,2.7,2.0,2.7,2.7,3.7,1.7,3.3,1.3,2.0,3.7,2.7,3.3,3.3,3.7,2.3,3.7,3.7,2.0,2.7,3.7,1.7,2.3,3.7,2.7,2.3,3.7,2.942
CS-97220,4.0,2.7,3.7,4.0,3.7,4.0,4.0,3.0,3.7,2.7,4.0,3.7,3.0,4.0,3.7,3.0,1.3,2.7,2.3,3.7,2.7,3.7,2.7,2.3,3.7,3.0,3.7,3.3,3.7,3.7,3.7,4.0,2.0,3.7,4.0,2.3,3.3,4.0,2.7,3.3,4.0,3.325
CS-97221,2.3,3.7,3.7,4.0,2.0,4.0,3.0,3.3,3.0,2.0,4.0,3.7,3.7,4.0,2.7,2.0,1.3,1.7,2.7,2.7,2.7,2.3,3.7,2.0,3.7,2.7,3.7,2.3,3.7,2.3,3.7,3.3,2.0,3.0,3.7,2.3,3.7,4.0,2.7,3.3,3.7,3.023
CS-97222,1.7,1.7,3.3,1.3,1.3,3.3,1.7,1.7,3.0,1.3,3.3,2.7,1.0,2.7,1.7,1.7,1.3,1.0,1.3,2.7,1.3,1.3,3.7,2.0,3.7,1.0,3.0,1.3,2.3,2.3,3.0,2.3,2.0,3.0,2.3,1.3,3.0,3.7,1.3,2.0,3.3,2.212
CS-97223,3.0,3.7,3.7,3.3,1.7,3.3,3.0,3.3,3.7,1.3,3.7,2.3,2.3,3.7,1.7,1.7,1.3,1.0,1.7,3.3,1.3,1.7,3.7,1.7,3.7,1.7,3.0,2.3,3.7,2.3,3.7,2.7,1.7,1.3,2.3,2.3,3.7,4.0,2.7,2.7,3.7,2.621
CS-97224,3.7,2.7,3.3,1.7,3.7,3.7,3.0,3.7,2.7,1.3,3.7,3.3,3.0,4.0,2.0,2.3,1.0,2.7,2.7,3.0,2.0,2.3,1.7,2.0,3.7,3.0,3.0,3.0,2.3,3.7,3.0,2.7,1.7,2.7,3.3,1.7,3.7,3.7,2.7,2.7,3.0,2.76
CS-97225,3.7,3.7,3.7,3.0,3.7,4.0,3.0,3.7,2.7,1.7,3.7,4.0,1.3,4.0,2.3,3.7,3.7,3.3,3.3,3.7,3.3,3.3,4.0,2.7,3.7,2.3,3.7,3.3,3.0,2.7,3.7,3.7,2.7,3.7,2.7,2.3,3.0,3.7,2.7,3.7,3.7,3.229
CS-97226,4.0,3.3,3.7,2.7,3.7,4.0,3.0,2.7,3.3,1.7,4.0,3.7,3.7,4.0,1.7,3.7,2.3,2.3,3.0,3.7,3.0,2.3,1.3,3.0,3.7,3.3,3.7,3.7,3.7,3.7,3.3,3.7,3.0,3.7,3.7,2.7,3.7,3.7,2.7,3.7,3.7,3.269
CS-97227,4.0,4.0,4.0,4.0,3.7,4.0,4.0,3.7,3.7,3.3,4.0,3.7,3.7,4.0,3.7,3.7,2.0,3.3,3.7,3.7,3.7,3.7,2.7,2.0,3.7,4.0,3.7,3.7,3.7,3.7,3.7,4.0,2.7,3.7,4.0,3.3,4.0,4.0,4.0,4.0,3.7,3.664
CS-97228,3.0,3.0,3.7,4.0,3.0,3.7,3.0,1.3,3.3,1.0,3.3,3.0,1.7,3.7,1.7,2.7,2.3,2.3,3.7,3.3,2.7,2.3,1.0,1.7,3.7,2.7,3.0,1.0,3.0,2.0,3.3,3.0,1.7,2.0,3.3,1.7,3.7,4.0,3.3,3.7,3.7,2.756
CS-97229,2.7,2.7,2.7,3.3,2.0,2.7,3.0,2.0,2.3,1.0,3.7,2.0,3.0,3.7,1.3,3.3,1.0,1.0,2.0,2.7,2.7,2.7,2.7,2.3,3.3,3.3,3.7,3.7,3.7,3.3,2.7,3.7,2.0,2.7,4.0,3.0,3.7,3.7,3.7,3.7,3.7,2.895
CS-97230,2.7,3.0,2.0,3.7,1.7,4.0,3.7,2.7,3.0,1.0,3.7,2.7,3.3,3.7,2.0,1.7,1.3,1.7,3.3,3.0,1.3,2.0,2.0,1.3,3.7,1.7,2.7,2.0,3.3,2.0,3.0,2.7,1.7,2.0,3.7,2.0,3.7,3.7,2.7,3.3,3.7,2.644
CS-97231,3.7,3.7,3.3,2.0,3.0,3.7,1.7,3.7,3.7,1.0,3.0,2.0,1.3,2.0,1.3,2.0,2.3,2.3,1.3,3.0,1.3,1.3,3.7,1.3,3.3,1.7,2.3,1.3,2.7,2.0,2.7,2.7,2.7,2.3,2.3,1.3,2.3,4.0,2.7,2.7,3.3,2.462
CS-97232,3.7,2.7,3.3,1.3,1.7,3.7,2.3,3.7,2.3,2.7,3.0,3.3,1.3,3.7,2.0,3.0,1.3,1.3,1.7,3.7,2.0,2.3,1.7,1.3,3.7,2.7,3.3,2.3,3.7,2.7,3.3,3.3,1.7,2.3,3.7,1.7,3.7,3.7,2.7,2.7,3.7,2.701
CS-97233,3.7,4.0,3.7,3.7,3.7,4.0,3.7,3.7,3.7,3.7,3.7,3.7,3.3,4.0,3.7,4.0,3.7,3.7,4.0,3.7,4.0,4.0,3.3,2.3,4.0,3.7,4.0,3.7,4.0,3.7,3.7,3.7,3.7,3.7,3.3,3.3,4.0,4.0,4.0,3.7,4.0,3.727
CS-97234,3.7,3.3,3.7,3.3,2.7,4.0,1.7,3.3,3.7,1.0,4.0,3.7,3.7,3.7,1.7,3.7,2.0,2.0,2.0,3.7,1.7,2.7,1.7,2.0,3.7,2.3,3.3,3.0,4.0,3.0,3.7,3.7,1.7,2.3,3.7,2.3,3.3,4.0,3.7,3.7,3.7,3.042
CS-97235,4.0,4.0,4.0,4.0,4.0,4.0,3.7,3.7,3.7,3.7,4.0,4.0,4.0,3.7,4.0,2.7,4.0,3.7,4.0,3.7,3.7,2.3,3.3,3.3,3.7,4.0,4.0,3.7,3.7,3.7,3.7,4.0,3.7,4.0,4.0,3.3,3.3,4.0,4.0,4.0,4.0,3.754
CS-97236,4.0,3.7,4.0,4.0,4.0,4.0,3.7,4.0,3.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.7,3.7,4.0,4.0,4.0,3.7,3.7,3.0,3.7,4.0,4.0,4.0,4.0,3.7,3.7,4.0,3.7,3.7,3.0,3.0,3.7,4.0,3.3,3.7,4.0,3.769
CS-97237,3.7,2.7,3.3,4.0,3.3,3.7,3.7,3.7,2.7,3.0,4.0,3.0,2.7,3.7,2.0,3.7,1.3,3.0,2.7,3.7,2.0,2.3,1.3,2.3,3.0,2.7,3.0,1.7,3.7,3.0,3.0,3.0,2.3,2.7,2.7,2.0,4.0,3.7,2.7,3.3,3.0,2.948
CS-97238,1.3,3.0,2.7,2.7,1.7,4.0,2.3,1.7,2.0,1.0,4.0,2.3,1.0,2.7,1.3,1.7,3.3,1.3,1.7,3.3,1.7,1.7,3.0,1.3,3.7,1.3,2.3,1.3,2.0,1.7,2.7,3.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,2.7,3.0,2.206
CS-97239,4.0,3.7,3.7,3.7,4.0,4.0,3.7,3.7,3.3,3.3,4.0,3.3,3.7,3.7,1.7,3.7,2.7,2.7,3.3,3.3,4.0,2.0,3.7,2.3,3.7,3.0,3.7,3.7,3.7,3.7,3.3,3.7,3.0,3.7,2.3,1.7,3.7,3.7,2.7,3.0,3.3,3.353
CS-97240,4.0,3.3,4.0,4.0,3.7,4.0,3.7,4.0,3.7,4.0,4.0,4.0,4.0,4.0,3.7,4.0,3.7,3.7,3.7,4.0,3.7,4.0,2.0,3.0,3.0,4.0,3.7,4.0,3.3,3.7,3.7,3.7,3.0,3.7,3.0,2.7,3.7,4.0,3.0,3.3,4.0,3.573
CS-97241,4.0,3.7,4.0,4.0,3.3,4.0,3.0,2.7,3.7,2.0,4.0,3.0,3.3,4.0,1.7,3.7,2.0,1.7,2.7,3.3,3.0,3.0,1.0,2.7,3.7,3.3,3.7,4.0,4.0,2.7,3.0,3.7,2.3,4.0,4.0,2.7,3.7,3.7,3.7,3.7,3.7,3.267
CS-97242,3.7,2.0,4.0,2.7,2.7,4.0,3.0,3.7,2.3,1.7,4.0,3.0,3.7,3.7,2.3,2.7,1.3,1.3,2.0,2.7,1.7,2.0,2.0,2.3,3.7,3.0,3.0,3.7,3.7,2.7,2.7,3.0,1.3,2.7,3.0,2.3,2.3,3.7,2.7,2.0,3.7,2.756
CS-97243,3.7,2.7,3.7,4.0,2.7,3.3,3.7,3.0,3.3,1.0,4.0,1.7,2.7,3.7,1.7,1.7,1.3,1.3,1.3,3.7,1.7,1.7,1.3,2.3,3.7,1.3,2.7,3.0,2.7,2.7,2.7,2.7,1.7,1.7,2.7,2.0,3.3,3.7,2.7,2.7,3.3,2.595
CS-97244,4.0,3.7,3.7,4.0,3.7,4.0,3.7,3.3,3.7,3.3,4.0,3.7,3.7,4.0,4.0,3.7,2.3,3.0,3.7,3.7,3.3,3.7,2.7,2.3,3.7,3.7,3.7,3.7,3.7,3.7,3.7,4.0,2.7,3.3,4.0,2.7,4.0,4.0,3.3,3.7,4.0,3.593
CS-97245,4.0,3.7,3.7,4.0,3.3,3.7,3.3,3.3,3.7,2.3,4.0,3.3,3.7,3.3,1.7,3.3,2.0,2.3,2.7,2.7,2.3,2.7,3.0,2.3,3.7,3.3,3.7,3.7,3.7,3.7,2.7,3.7,2.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.271
CS-97246,3.0,2.7,3.7,2.0,3.3,4.0,2.7,2.3,2.7,2.0,3.7,3.0,2.0,3.3,1.3,2.7,1.7,2.7,2.3,2.7,1.7,1.7,3.7,1.7,3.3,2.0,3.0,2.0,2.7,3.0,2.3,2.7,1.7,2.0,2.0,2.3,3.7,3.7,2.3,2.7,3.7,2.605
CS-97247,3.7,2.7,3.7,4.0,2.7,3.7,1.7,3.7,3.7,2.7,3.7,2.7,3.7,3.7,2.3,3.7,1.3,2.3,2.0,3.7,2.0,3.0,1.3,2.0,3.0,2.7,2.7,2.7,3.7,2.7,3.7,3.7,2.0,3.3,3.7,3.0,3.7,3.7,3.3,3.7,3.7,3.058
CS-97248,3.7,3.3,3.7,3.3,2.7,3.7,2.7,3.0,3.3,1.3,3.7,3.3,2.7,3.3,1.7,3.3,1.3,1.7,2.7,3.7,1.7,1.7,2.0,1.7,3.7,1.7,3.0,1.7,3.0,2.7,3.0,2.7,1.3,2.0,2.7,2.7,3.0,3.7,2.7,2.3,3.7,2.687
CS-97249,4.0,3.7,4.0,4.0,3.7,3.7,3.7,3.3,3.7,2.7,4.0,3.7,4.0,4.0,3.7,3.3,3.3,2.3,3.0,3.7,3.7,3.0,4.0,2.3,3.7,2.7,3.7,4.0,4.0,2.7,3.3,3.7,3.7,3.0,3.3,2.7,3.3,3.7,3.0,3.0,3.7,3.432
CS-97250,3.7,3.7,3.7,2.7,2.7,3.3,3.0,2.7,2.0,1.0,4.0,3.3,2.3,3.7,1.3,3.0,2.0,1.7,1.7,2.7,2.0,2.3,3.7,2.0,3.7,2.7,3.3,3.3,2.0,2.3,2.7,3.3,2.0,2.7,3.0,1.7,3.7,3.0,2.7,3.3,3.7,2.785
CS-97251,4.0,3.7,3.7,3.7,3.7,4.0,3.7,3.7,2.7,4.0,3.7,1.7,3.7,4.0,2.3,4.0,2.7,3.3,3.7,3.7,3.7,3.3,2.7,2.7,3.7,2.7,3.7,3.7,3.7,3.3,3.3,3.0,3.0,3.0,2.0,2.7,3.7,3.7,3.7,2.7,3.3,3.328
CS-97252,3.3,3.7,3.7,3.0,2.7,4.0,2.7,2.0,3.0,1.3,4.0,2.7,2.3,4.0,1.3,3.0,1.7,2.3,2.0,3.0,2.0,2.3,2.3,2.3,3.7,1.7,2.7,3.0,3.0,2.3,2.7,3.7,2.0,2.0,3.7,1.7,4.0,3.7,2.3,2.7,3.3,2.756
CS-97253,3.3,3.3,3.0,3.0,3.0,3.7,3.0,3.7,3.0,2.3,4.0,2.3,2.7,3.3,3.7,3.0,2.0,2.3,2.7,3.7,2.3,2.3,2.7,2.7,3.7,3.0,3.7,3.3,3.7,3.7,3.3,2.7,2.3,2.3,3.3,1.7,3.7,3.7,3.0,2.7,4.0,3.043
CS-97254,2.7,4.0,3.3,4.0,3.7,4.0,2.3,2.7,2.3,1.0,2.7,2.7,4.0,3.7,1.0,3.0,2.3,1.3,2.7,2.3,2.0,2.7,1.7,1.7,3.0,1.3,3.0,1.3,2.7,2.0,3.3,2.7,1.7,2.3,2.3,1.3,2.3,3.3,2.3,1.3,2.3,2.44
CS-97255,4.0,3.0,4.0,4.0,3.7,3.7,3.3,3.7,3.3,3.7,4.0,3.7,3.7,3.7,3.7,3.7,2.3,4.0,3.0,4.0,3.7,3.3,3.0,2.3,3.7,3.7,4.0,3.0,3.0,3.0,3.7,4.0,2.7,4.0,2.7,3.7,3.0,3.7,3.7,3.7,3.7,3.512
CS-97256,1.7,1.0,1.3,2.0,1.0,3.7,1.0,1.0,2.0,1.3,1.3,2.3,2.3,1.3,2.3,1.0,2.3,1.3,1.0,1.7,1.7,3.0,1.7,1.7,2.7,1.0,1.3,2.7,1.3,1.3,1.7,1.3,1.0,1.7,2.0,1.7,1.3,2.3,2.7,1.7,2.7,1.764
CS-97257,2.7,1.7,3.0,2.7,1.7,3.7,2.3,3.3,2.7,1.0,3.7,2.7,3.3,3.3,2.0,2.3,1.7,1.7,1.3,3.3,2.0,2.3,3.7,3.0,3.7,1.7,2.7,2.7,3.3,2.0,3.3,2.7,1.7,2.0,2.7,1.7,4.0,3.7,1.7,2.3,3.7,2.605
CS-97258,2.7,3.0,3.3,3.0,1.3,3.7,1.7,3.3,2.0,1.3,3.3,3.3,1.7,3.0,1.7,2.3,1.3,1.3,1.3,2.3,1.3,1.7,3.0,1.3,3.7,1.7,2.0,2.7,3.3,2.0,2.7,3.0,1.3,1.3,1.7,1.7,3.0,3.7,2.0,1.3,3.7,2.311
CS-97259,3.7,2.3,3.7,4.0,3.3,4.0,3.7,3.7,3.7,3.3,4.0,3.3,3.7,3.7,3.7,3.7,1.7,2.7,4.0,4.0,2.7,3.7,2.7,2.7,3.3,3.7,3.7,3.3,3.7,3.3,3.7,4.0,3.7,4.0,3.7,2.7,3.7,4.0,3.0,3.7,3.7,3.479
CS-97260,3.7,3.0,3.7,4.0,3.3,4.0,4.0,3.7,3.7,3.0,4.0,3.7,2.7,4.0,2.3,3.3,3.0,3.0,3.0,3.7,2.7,3.3,3.3,2.0,3.7,3.7,3.3,3.7,3.3,2.7,3.7,4.0,3.3,2.7,3.7,3.7,3.7,4.0,3.7,3.7,3.7,3.447
CS-97261,4.0,3.7,4.0,4.0,4.0,4.0,4.0,3.7,3.7,3.0,4.0,3.7,3.7,4.0,3.7,4.0,2.7,2.7,3.7,3.7,3.7,4.0,3.7,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.3,4.0,3.7,4.0,4.0,3.7,3.7,4.0,3.7,4.0,4.0,3.751
CS-97262,3.3,1.3,1.7,3.3,2.7,4.0,2.7,2.7,3.0,2.3,4.0,1.7,2.3,3.3,1.3,3.0,1.3,2.3,2.0,2.7,1.7,2.0,1.0,2.7,3.0,1.7,2.3,1.3,2.3,3.0,3.0,3.7,1.3,1.3,2.0,1.7,3.7,3.7,2.0,2.3,3.3,2.484
CS-97263,3.7,3.0,3.3,3.7,3.7,4.0,3.0,3.0,2.7,3.7,2.7,3.3,1.7,3.7,1.3,2.7,2.0,3.7,2.3,1.3,2.3,1.7,3.7,1.7,3.7,1.7,2.7,1.7,1.3,3.7,2.0,2.7,1.3,2.0,2.3,1.0,4.0,3.7,2.7,1.3,3.3,2.704
CS-97264,2.7,2.7,2.7,4.0,1.7,3.7,3.3,2.3,3.3,1.7,3.3,1.3,3.0,3.7,3.7,1.7,1.3,1.3,2.3,3.0,1.3,3.0,3.7,2.0,3.7,2.7,2.7,3.3,3.7,3.7,3.7,2.7,2.3,2.7,2.7,2.0,3.3,4.0,2.7,2.7,3.7,2.806
CS-97265,4.0,1.7,3.7,4.0,3.7,4.0,4.0,4.0,3.7,3.7,4.0,3.7,4.0,4.0,4.0,4.0,3.7,3.7,3.7,3.7,3.7,4.0,3.7,2.3,3.7,4.0,4.0,4.0,3.7,3.7,3.7,4.0,3.7,4.0,4.0,3.7,4.0,4.0,3.7,3.7,3.7,3.755
CS-97266,3.7,3.7,3.7,3.0,3.3,3.7,3.7,3.7,3.0,2.3,4.0,2.7,3.3,4.0,2.3,3.7,1.7,3.0,2.3,3.3,2.7,2.7,1.3,2.0,3.0,2.0,2.7,3.3,2.7,2.7,2.7,2.7,2.7,1.3,3.0,2.0,4.0,3.7,2.7,1.3,2.7,2.925
CS-97267,3.7,3.7,4.0,3.3,2.7,4.0,3.7,3.0,2.0,2.0,4.0,3.7,2.3,4.0,3.3,4.0,1.3,3.7,3.7,2.7,3.7,3.7,3.7,3.0,3.7,3.7,4.0,4.0,4.0,4.0,3.7,4.0,4.0,3.7,3.7,2.7,4.0,3.7,4.0,3.7,4.0,3.54
CS-97268,3.7,2.3,3.7,3.7,2.0,3.0,2.3,3.7,3.0,1.0,3.7,3.3,1.3,4.0,1.7,1.7,1.3,1.0,1.3,3.0,1.3,1.3,1.3,1.7,3.7,1.3,2.0,2.0,2.3,2.7,2.7,3.0,1.7,1.3,1.7,1.0,3.3,3.7,2.3,2.0,3.3,2.388
