Seat No.,PH-121,HS-101,CY-105,HS-105/12,MT-111,CS-105,CS-106,EL-102,EE-119,ME-107,CS-107,HS-205/20,MT-222,EE-222,MT-224,CS-210,CS-211,CS-203,CS-214,EE-217,CS-212,CS-215,MT-331,EF-303,HS-304,CS-301,CS-302,TC-383,MT-442,EL-332,CS-318,CS-306,CS-312,CS-317,CS-403,CS-421,CS-406,CS-414,CS-419,CS-423,CS-412,CGPA
CS-97132,3.7,1.7,3.3,2.7,1.3,3.7,1.7,3.3,3.7,3.7,1.7,3.7,3.7,3.3,2.3,3.0,2.3,2.7,1.3,2.7,1.7,2.7,2.3,1.3,2.7,3.0,3.3,1.7,4.0,2.7,3.3,3.0,1.7,2.7,2.0,2.0,3.7,4.0,2.7,2.7,3.7,2.823
CS-97133,3.7,2.0,2.7,1.0,1.0,2.7,2.0,2.7,3.7,3.7,1.0,3.7,2.3,3.0,2.7,2.7,1.3,3.0,1.7,1.7,1.3,2.3,2.0,1.0,2.7,1.3,3.7,1.3,3.7,2.0,1.3,3.0,1.3,2.0,1.7,1.7,3.7,3.7,2.0,1.3,3.7,2.407
CS-97134,2.7,1.7,1.7,1.0,1.7,3.7,2.3,1.3,1.3,2.3,1.0,3.7,2.7,2.7,1.0,3.0,3.0,3.0,2.3,4.0,2.0,2.7,3.0,1.7,2.7,1.3,2.7,1.0,3.7,2.7,1.7,2.3,2.0,2.0,2.0,2.0,3.7,3.7,2.3,2.0,3.3,2.379
CS-97135,3.7,1.3,3.3,1.0,2.0,3.3,2.3,3.0,3.0,3.0,3.7,3.0,1.3,2.3,2.3,3.7,2.7,3.7,2.0,3.0,1.3,1.7,2.7,1.3,2.7,1.3,3.7,1.3,3.7,3.0,1.7,2.7,1.3,2.3,2.0,1.7,3.7,3.3,2.0,2.3,3.0,2.579
CS-97136,3.7,1.3,3.7,1.3,3.0,4.0,2.0,3.7,3.7,4.0,2.3,3.7,4.0,3.3,2.3,3.3,2.3,3.7,3.3,3.7,2.0,2.0,2.3,1.3,2.3,1.3,3.7,1.3,3.7,3.0,2.3,2.7,1.3,2.3,1.3,1.3,3.0,3.7,2.3,2.3,2.7,2.711
CS-97137,1.0,1.3,1.7,1.0,1.7,1.7,1.0,1.7,2.7,1.7,1.0,2.3,1.3,2.0,1.0,1.3,1.7,1.0,1.7,2.3,1.0,1.0,2.0,1.3,1.7,1.0,1.3,1.3,3.0,1.7,1.0,1.0,1.7,1.7,1.3,1.7,3.7,3.7,2.0,1.0,2.7,1.714
CS-97138,1.7,2.3,,,,3.0,,,3.7,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.653
CS-97139,1.3,1.3,2.0,1.3,1.0,1.7,1.3,1.0,1.3,1.3,1.7,3.7,1.0,1.3,1.0,1.0,1.0,1.3,1.7,1.3,1.0,2.7,1.7,1.3,2.3,1.0,1.7,1.3,2.0,1.0,2.0,3.7,1.7,2.3,1.7,1.0,3.3,2.7,2.0,1.3,3.0,1.749
CS-97140,1.3,1.0,2.0,1.7,1.0,1.0,1.0,1.3,2.3,1.0,1.7,3.7,1.0,2.0,1.0,1.3,3.0,1.7,1.3,1.3,1.7,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,2.3,1.0,1.3,2.7,3.0,1.3,1.3,2.7,1.708
CS-97141,4.0,2.7,3.3,3.0,3.7,3.7,4.0,4.0,4.0,1.7,3.7,3.7,2.0,3.7,2.7,2.7,4.0,3.7,2.7,4.0,3.0,2.7,3.0,2.3,2.7,3.7,3.0,3.0,3.7,4.0,3.7,3.3,2.7,3.0,3.7,2.3,3.7,4.0,4.0,3.7,4.0,3.363
CS-97142,1.3,3.3,1.0,2.0,1.0,2.3,2.7,1.0,2.0,1.0,1.0,2.7,1.0,1.3,1.3,1.3,1.0,1.0,1.0,1.3,1.3,2.7,2.7,1.7,2.0,1.0,3.7,2.3,1.0,2.7,1.7,1.0,2.0,1.7,1.3,1.3,1.3,2.0,1.7,3.0,2.3,1.763
CS-97143,2.3,2.7,3.0,3.7,4.0,3.7,2.0,,3.7,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.943
CS-97144,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
CS-97145,4.0,3.7,4.0,4.0,4.0,4.0,4.0,3.7,4.0,3.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.7,4.0,4.0,3.7,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.7,4.0,4.0,3.7,3.7,4.0,4.0,3.7,4.0,3.906
CS-97146,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.7,3.7,4.0,3.7,4.0,3.7,3.7,3.0,3.3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.7,4.0,4.0,3.7,3.7,4.0,4.0,4.0,3.7,3.873
CS-97147,3.7,2.3,4.0,3.7,2.7,4.0,3.0,2.3,3.0,1.7,4.0,3.3,3.7,4.0,4.0,2.3,2.3,1.3,2.3,3.7,2.3,2.7,2.7,2.7,3.7,2.0,3.7,3.7,4.0,3.3,3.7,3.7,2.0,3.7,3.7,3.7,3.7,4.0,3.7,3.0,3.7,3.217
CS-97148,3.7,3.7,3.7,1.7,2.3,4.0,3.3,3.3,3.7,1.0,3.7,3.7,3.7,3.0,1.7,2.7,1.3,2.0,1.7,2.7,1.3,2.0,1.3,2.0,2.3,1.7,3.0,2.7,3.3,2.7,3.3,3.7,1.7,1.7,1.3,1.3,3.7,3.7,2.0,2.0,3.3,2.603
CS-97149,4.0,3.7,4.0,4.0,3.0,3.7,3.7,3.3,3.0,4.0,4.0,3.7,4.0,4.0,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.3,2.7,3.3,3.7,3.7,3.7,3.7,3.0,4.0,4.0,3.7,3.7,3.3,3.3,3.7,4.0,3.7,3.0,3.7,3.625
CS-97150,4.0,3.3,4.0,4.0,3.7,4.0,3.7,3.3,3.7,4.0,4.0,3.7,3.7,4.0,2.7,3.0,2.7,3.7,3.7,3.7,2.7,2.7,1.0,2.3,3.7,2.7,3.7,4.0,4.0,3.0,3.7,3.7,2.7,3.0,2.3,2.3,3.7,4.0,3.7,3.0,3.7,3.366
CS-97151,4.0,2.7,4.0,4.0,3.3,4.0,3.7,3.0,3.7,3.0,4.0,3.7,3.0,4.0,4.0,3.7,1.7,3.0,2.7,3.7,2.7,3.3,3.7,2.3,3.7,3.3,4.0,4.0,3.7,3.3,3.7,4.0,2.3,4.0,3.7,3.3,3.7,4.0,3.7,3.7,3.7,3.513
